GENESIS-Tabelle: 23111-01d
Anzahl der Krankenhäuser und aufgestellte Betten nach Art;;;;;;;;;;
der Träger - kreisfreie Städte und Kreise - Stichtag;;;;;;;;;;
Grunddaten der Krankenhäuser;;;;;;;;;;
;;;Träger;Träger;Träger;Träger;Träger;Träger;Träger;Träger
;;;Insgesamt;Insgesamt;Öffentliche Träger;Öffentliche Träger;Private Träger;Private Träger;Freigemeinnützige Träger;Freigemeinnützige Träger
;;;Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt)
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2020;05954;    Ennepe-Ruhr-Kreis;6;1575;-;-;1;367;5;1208
31.12.2020;05958;    Hochsauerlandkreis;10;2102;3;397;1;54;6;1651
31.12.2020;05962;    Märkischer Kreis;10;2670;3;1260;3;307;4;1103
31.12.2020;05966;    Olpe, Kreis;2;856;-;-;1;301;1;555
31.12.2020;05970;    Siegen-Wittgenstein, Kreis;6;2196;1;618;1;127;4;1451
31.12.2020;05974;    Soest, Kreis;9;2053;3;733;1;104;5;1216
31.12.2020;05978;    Unna, Kreis;8;2708;1;799;-;-;7;1909
31.12.2019;05;Nordrhein-Westfalen;341;117869;76;36335;43;9195;222;72339
31.12.2019;051;  Düsseldorf, Regierungsbezirk;94;35779;17;7943;15;6106;62;21730
31.12.2019;05111;    Düsseldorf, krfr. Stadt;13;4848;2;1701;4;811;7;2336
31.12.2019;05112;    Duisburg, krfr. Stadt;7;4504;1;342;2;1635;4;2527
31.12.2019;05113;    Essen, krfr. Stadt;11;5589;3;1812;1;19;7;3758
31.12.2019;05114;    Krefeld, krfr. Stadt;4;2031;-;-;1;1066;3;965
31.12.2019;05116;    Mönchengladbach, krfr. Stadt;5;2197;2;783;-;-;3;1414
31.12.2019;05117;    Mülheim an der Ruhr, krfr. Stadt;2;876;-;-;-;-;2;876
31.12.2019;05119;    Oberhausen, krfr. Stadt;3;1385;-;-;1;218;2;1167
31.12.2019;05120;    Remscheid, krfr. Stadt;3;1004;-;-;1;439;2;565
31.12.2019;05122;    Solingen, krfr. Stadt;4;932;1;506;-;-;3;426
31.12.2019;05124;    Wuppertal, krfr. Stadt;3;2081;-;-;1;1051;2;1030
31.12.2019;05154;    Kleve, Kreis;7;1760;1;403;-;-;6;1357
31.12.2019;05158;    Mettmann, Kreis;11;2241;1;467;3;587;7;1187
31.12.2019;05162;    Rhein-Kreis Neuss;7;1985;2;1113;-;-;5;872
31.12.2019;05166;    Viersen, Kreis;7;1582;4;816;1;280;2;486
31.12.2019;05170;    Wesel, Kreis;7;2764;-;-;-;-;7;2764
31.12.2019;053;  Köln, Regierungsbezirk;79;25900;18;11299;10;1145;51;13456
31.12.2019;05313;    Aachen, krfr. Stadt;-;-;-;-;-;-;-;-
31.12.2019;05314;    Bonn, krfr. Stadt;9;4523;2;2115;2;89;5;2319
31.12.2019;05315;    Köln, krfr. Stadt;22;7119;6;3651;-;-;16;3468
31.12.2019;05316;    Leverkusen, krfr. Stadt;2;1001;1;655;-;-;1;346
31.12.2019;05334;    Städteregion Aachen (einschl. Stadt Aachen);9;3786;2;1976;1;125;6;1685
31.12.2019;05354;    Aachen, Kreis;-;-;-;-;-;-;-;-
