;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2006;05;Nordrhein-Westfalen;437;125003;89;39018;45;5085;303;80900
31.12.2006;05162;    Rhein-Kreis Neuss;8;2004;3;1186;-;-;5;818
31.12.2006;05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;-;-;-;-;-;-
31.12.2006;05362;    Rhein-Erft-Kreis;9;1525;-;-;3;218;6;1307
31.12.2006;05374;    Oberbergischer Kreis;7;1787;3;1095;-;-;4;692
31.12.2006;05378;    Rheinisch-Bergischer Kreis;5;1151;1;203;1;36;3;912
31.12.2006;05382;    Rhein-Sieg-Kreis;9;1574;-;-;2;566;7;1008
31.12.2006;05954;    Ennepe-Ruhr-Kreis;10;2241;-;-;1;386;9;1855
31.12.2006;05958;    Hochsauerlandkreis;16;2265;4;595;3;134;9;1536
31.12.2006;05962;    Märkischer Kreis;14;3392;5;1704;2;184;7;1504
31.12.2005;05;Nordrhein-Westfalen;444;127405;89;39596;44;5046;311;82763
31.12.2005;05162;    Rhein-Kreis Neuss;8;2009;3;1186;-;-;5;823
31.12.2005;05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;-;-;-;-;-;-
31.12.2005;05362;    Rhein-Erft-Kreis;9;1553;-;-;3;218;6;1335
31.12.2005;05374;    Oberbergischer Kreis;7;1811;3;1119;-;-;4;692
31.12.2005;05378;    Rheinisch-Bergischer Kreis;5;1150;1;203;1;36;3;911
31.12.2005;05382;    Rhein-Sieg-Kreis;10;1669;-;-;2;566;8;1103
31.12.2005;05954;    Ennepe-Ruhr-Kreis;10;2355;-;-;1;420;9;1935
31.12.2005;05958;    Hochsauerlandkreis;16;2300;4;594;3;134;9;1572
31.12.2005;05962;    Märkischer Kreis;14;3438;4;1559;2;184;8;1695
31.12.2004;05;Nordrhein-Westfalen;456;130489;90;40245;49;5845;317;84399
31.12.2004;05162;    Rhein-Kreis Neuss;9;2086;3;1221;1;23;5;842
31.12.2004;05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;-;-;-;-;-;-
31.12.2004;05362;    Rhein-Erft-Kreis;9;1558;-;-;3;223;6;1335
31.12.2004;05374;    Oberbergischer Kreis;7;1820;3;1108;-;-;4;712
31.12.2004;05378;    Rheinisch-Bergischer Kreis;5;1217;-;-;1;116;4;1101
31.12.2004;05382;    Rhein-Sieg-Kreis;10;1783;-;-;2;577;8;1206
31.12.2004;05954;    Ennepe-Ruhr-Kreis;9;2378;-;-;1;405;8;1973
31.12.2004;05958;    Hochsauerlandkreis;17;2328;4;625;4;139;9;1564
31.12.2004;05962;    Märkischer Kreis;14;3438;4;1559;2;184;8;1695
31.12.2003;05;Nordrhein-Westfalen;459;132834;90;41478;40;2328;329;89028
31.12.2003;05162;    Rhein-Kreis Neuss;9;2222;3;1301;1;23;5;898
